antecedents,consequents,support,confidence,lift
Cushion Cover Set Pro,LED Desk Lamp,0.0036904761904761906,0.15816326530612246,6.813186813186813
LED Desk Lamp,Cushion Cover Set Pro,0.0036904761904761906,0.15897435897435896,6.813186813186812
Puzzle Book,Notebook Set,0.004642857142857143,0.1652542372881356,6.169491525423729
Notebook Set,Puzzle Book,0.004642857142857143,0.17333333333333334,6.169491525423728
Smart Watch,USB-C Cable,0.003928571428571429,0.15492957746478875,6.167812562579267
USB-C Cable,Smart Watch,0.003928571428571429,0.15639810426540285,6.167812562579267
Storage Boxes Pro,Electric Kettle Pro,0.004047619047619047,0.15044247787610618,6.164472264191668
Electric Kettle Pro,Storage Boxes Pro,0.004047619047619047,0.16585365853658535,6.164472264191668
Ceramic Mug Set,Air Fryer Pro,0.003928571428571429,0.16336633663366337,6.0990099009901
Air Fryer Pro,Ceramic Mug Set,0.003928571428571429,0.1466666666666667,6.0990099009901
Shampoo,Face Wash,0.0034523809523809524,0.16763005780346824,6.095638465580663
Face Wash,Shampoo,0.0034523809523809524,0.12554112554112554,6.095638465580662
Trimmer,Body Lotion Pro,0.0035714285714285713,0.14084507042253522,6.067172264355363
Body Lotion Pro,Trimmer,0.0035714285714285713,0.15384615384615383,6.067172264355363
Sunglasses,Cotton T-Shirt,0.0030952380952380953,0.12807881773399016,6.010402619919091
Cotton T-Shirt,Sunglasses,0.0030952380952380953,0.1452513966480447,6.010402619919091
Trimmer Pro,Trimmer,0.003928571428571429,0.15207373271889402,5.997273966378919
Fountain Pen,Art Supplies Kit,0.003928571428571429,0.15207373271889402,5.997273966378919
Art Supplies Kit,Fountain Pen,0.003928571428571429,0.15492957746478875,5.997273966378919
Trimmer,Trimmer Pro,0.003928571428571429,0.15492957746478875,5.997273966378919
Cycling Gloves,Dumbbell Set,0.0032142857142857142,0.13043478260869565,5.9871703492516035
Dumbbell Set,Cycling Gloves,0.0032142857142857142,0.14754098360655737,5.9871703492516035
Sticky Notes Pro,Desk Organizer Pro,0.0034523809523809524,0.13302752293577982,5.9755678751901105
Desk Organizer Pro,Sticky Notes Pro,0.0034523809523809524,0.15508021390374332,5.97556787519011
Yoga Mat,Water Bottle Pro,0.0036904761904761906,0.1504854368932039,5.906904999546321
Water Bottle Pro,Yoga Mat,0.0036904761904761906,0.14485981308411217,5.906904999546321
Puzzle Book,Desk Organizer Pro,0.0036904761904761906,0.13135593220338984,5.900480377050667
Desk Organizer Pro,Puzzle Book,0.0036904761904761906,0.16577540106951874,5.900480377050667
Fiction Novel,Notebook Set,0.0038095238095238095,0.15763546798029557,5.885057471264369
Notebook Set,Fiction Novel,0.0038095238095238095,0.14222222222222222,5.885057471264368
Non-stick Pan Pro,Air Fryer,0.0034523809523809524,0.14427860696517414,5.8832053325604985
Air Fryer,Non-stick Pan Pro,0.0034523809523809524,0.1407766990291262,5.8832053325604985
Electric Kettle,Storage Boxes Pro,0.003928571428571429,0.15789473684210525,5.868653935724266
Storage Boxes Pro,Electric Kettle,0.003928571428571429,0.14601769911504425,5.868653935724266
Formal Shirt Pro,Winter Hoodie Pro,0.0034523809523809524,0.13875598086124402,5.8570363780625625
Winter Hoodie Pro,Formal Shirt Pro,0.0034523809523809524,0.14572864321608042,5.8570363780625625
Fountain Pen,Notebook Set,0.004047619047619047,0.15668202764976957,5.849462365591398
Notebook Set,Fountain Pen,0.004047619047619047,0.1511111111111111,5.849462365591398
Air Fryer,Cushion Cover Set Pro,0.0033333333333333335,0.13592233009708737,5.825242718446601
Cushion Cover Set Pro,Air Fryer,0.0033333333333333335,0.14285714285714285,5.825242718446601
USB-C Cable Pro,Laptop Stand Pro,0.0034523809523809524,0.1518324607329843,5.797239409804854
Laptop Stand Pro,USB-C Cable Pro,0.0034523809523809524,0.1318181818181818,5.797239409804854
Air Fryer Pro,Knife Set,0.004047619047619047,0.1511111111111111,5.796042617960426
Knife Set,Air Fryer Pro,0.004047619047619047,0.1552511415525114,5.796042617960426
Bookmark Set,Sticky Notes,0.0033333333333333335,0.13930348258706468,5.792818087778928
Sticky Notes,Bookmark Set,0.0033333333333333335,0.13861386138613863,5.792818087778928
Sunscreen Pro,Shampoo Pro,0.0038095238095238095,0.1461187214611872,5.762428451990481
Shampoo Pro,Sunscreen Pro,0.0038095238095238095,0.15023474178403756,5.762428451990481
Sunscreen Pro,Moisturizer Pro,0.003928571428571429,0.15068493150684933,5.727391061798798
Moisturizer Pro,Sunscreen Pro,0.003928571428571429,0.1493212669683258,5.727391061798797
Wireless Mouse Pro,Bluetooth Speaker,0.0034523809523809524,0.14646464646464646,5.695847362514029
Bluetooth Speaker,Wireless Mouse Pro,0.0034523809523809524,0.13425925925925927,5.695847362514029
Sketch Pens Pro,Bookmark Set,0.0033333333333333335,0.1352657004830918,5.652894945562045
