CustomerID,Recency,Frequency,Monetary,Cluster,Segment
C0001,28,4,50679.86,1,Potential / At-Risk
C0002,1,17,466879.68,0,Loyal Customers
C0003,52,4,84075.76,1,Potential / At-Risk
C0004,18,3,35386.62,1,Potential / At-Risk
C0005,28,12,264667.24,0,Loyal Customers
C0006,5,2,41873.29,1,Potential / At-Risk
C0007,353,1,1649.96,2,Lost / Low-Value
C0008,354,2,63103.83,2,Lost / Low-Value
C0009,232,7,105736.7,1,Potential / At-Risk
C0010,3,23,702928.25,0,Loyal Customers
C0011,282,3,43134.7,2,Lost / Low-Value
C0012,501,2,36040.85,2,Lost / Low-Value
C0013,4,21,500899.22,0,Loyal Customers
C0014,397,1,5791.7,2,Lost / Low-Value
C0015,364,2,19975.809999999998,2,Lost / Low-Value
C0016,198,7,94217.06999999999,1,Potential / At-Risk
C0017,82,5,56207.48,1,Potential / At-Risk
C0018,2,15,214624.59,0,Loyal Customers
C0019,10,29,684383.88,3,Champions
C0020,18,11,105122.37,1,Potential / At-Risk
C0021,174,3,32284.760000000002,1,Potential / At-Risk
C0022,9,30,737039.36,3,Champions
C0023,18,11,278474.36,0,Loyal Customers
C0024,89,12,208500.93,1,Potential / At-Risk
C0025,338,5,45868.58,2,Lost / Low-Value
C0026,310,3,35312.7,2,Lost / Low-Value
C0027,1,13,211035.42,0,Loyal Customers
C0028,19,13,188019.29,0,Loyal Customers
C0029,38,3,33585.16,1,Potential / At-Risk
C0030,78,4,120138.4,1,Potential / At-Risk
C0031,6,24,649820.67,0,Loyal Customers
C0032,141,5,145402.81,1,Potential / At-Risk
C0033,2,20,471898.16,0,Loyal Customers
C0034,6,20,412821.05,0,Loyal Customers
C0035,59,4,97348.53,1,Potential / At-Risk
C0036,17,8,78868.73,1,Potential / At-Risk
C0037,243,3,25843.22,1,Potential / At-Risk
C0038,28,15,399370.5,0,Loyal Customers
C0039,98,5,50588.83,1,Potential / At-Risk
C0040,68,4,111427.32,1,Potential / At-Risk
C0041,8,39,970293.71,3,Champions
C0042,22,3,50217.96,1,Potential / At-Risk
C0043,1,25,479585.06,0,Loyal Customers
C0044,359,3,21093.55,2,Lost / Low-Value
C0045,2,17,305619.71,0,Loyal Customers
C0046,17,14,168487.91999999998,0,Loyal Customers
C0047,1,19,437285.76,0,Loyal Customers
C0048,32,3,17090.58,1,Potential / At-Risk
C0049,2,8,103525.75,1,Potential / At-Risk
C0050,168,8,78461.64,1,Potential / At-Risk
C0051,1,42,1359880.0,3,Champions
C0052,152,3,49655.6,1,Potential / At-Risk
C0053,6,19,549047.53,0,Loyal Customers
C0054,332,1,6305.37,2,Lost / Low-Value
C0055,5,17,359010.23,0,Loyal Customers
